away_team,week,posteam,drive_play_count,drive,qtr,drive_start_yard_line,drive_end_yard_line,drive_end_transition,down,ydstogo,yrdln,time,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,pass_length,pass_location,air_yards,yards_after_catch,goal_to_go,first_down_pass,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,drive_time_of_possession,drive_first_downs,drive_inside20,drive_ended_with_score,drive_yards_penalized,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,tackle_for_loss_1_player_name,tackle_for_loss_2_player_name,qb_hit_1_player_name,pass_defense_1_player_name,fumbled_1_player_name,sack_player_name,half_sack_1_player_name,half_sack_2_player_name,replay_or_challenge_result,penalty_type,drive_start_transition
GB,1,GB,6,1,1,GB 35,PHI 43,PUNT,4,11,PHI 43,11:47,22,"(11:47) 19-D.Whelan punts 33 yards to PHI 10, Center-42-M.Orzech, out of bounds.",punt,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3:20,1,0,0,-5,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KICKOFF
GB,1,PHI,3,2,1,PHI 10,PHI 5,INTERCEPTION,1,10,PHI 10,11:40,-5,(11:40) 26-S.Barkley left end to PHI 5 for -5 yards (45-Er.Wilson).,run,-5,0,0,0,0,0,0,NA,NA,NA,NA,S.Barkley,-5,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0:54,0,0,0,0,0,0,0,0,0,Er.Wilson,NA,NA,NA,NA,NA,NA,NA,NA,NA,PUNT
GB,1,PHI,3,2,1,PHI 10,PHI 5,INTERCEPTION,2,15,PHI 5,11:03,-5,(11:03) (Shotgun) 1-J.Hurts pass incomplete deep left to 11-A.Brown.,pass,0,1,0,1,0,0,0,J.Hurts,NA,A.Brown,NA,NA,NA,deep,left,17,NA,0,0,0,0,0,0,1,0,0:54,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PUNT
GB,1,PHI,3,2,1,PHI 10,PHI 5,INTERCEPTION,3,15,PHI 5,10:57,-5,(10:57) (Shotgun) 1-J.Hurts pass deep middle intended for 6-D.Smith INTERCEPTED by 29-X.McKinney at PHI 36. 29-X.McKinney to PHI 19 for 17 yards (68-J.Mailata).,pass,0,1,0,1,0,0,0,J.Hurts,NA,D.Smith,NA,NA,NA,deep,middle,31,NA,0,0,0,1,0,0,0,1,0:54,0,0,0,0,0,0,0,0,0,NA,NA,NA,X.McKinney,NA,NA,NA,NA,NA,NA,PUNT
GB,1,GB,5,3,1,PHI 19,PHI 13,FIELD_GOAL,1,10,PHI 19,10:46,6,"(10:46) (Shotgun) 10-J.Love sacked at PHI 24 for -5 yards (53-Z.Baun). PENALTY on PHI-98-J.Carter, Unnecessary Roughness, 12 yards, enforced at PHI 24.",pass,-5,1,0,1,0,0,0,J.Love,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2:20,1,1,1,2,0,0,0,0,0,NA,NA,Z.Baun,NA,NA,Z.Baun,NA,NA,NA,Unnecessary Roughness,INTERCEPTION
GB,1,GB,5,3,1,PHI 19,PHI 13,FIELD_GOAL,1,10,PHI 12,10:19,6,(10:19) (Shotgun) 8-J.Jacobs right tackle to PHI 12 for no gain (8-C.Gardner-Johnson).,run,0,1,0,0,0,0,0,NA,NA,NA,NA,J.Jacobs,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2:20,1,1,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,INTERCEPTION
GB,1,GB,5,3,1,PHI 19,PHI 13,FIELD_GOAL,2,10,PHI 12,09:39,6,"(9:39) 10-J.Love pass short right to 88-L.Musgrave to PHI 13 for -1 yards (8-C.Gardner-Johnson; 2-D.Slay). PENALTY on GB-63-R.Walker, Offensive Holding, 10 yards, enforced at PHI 12 - No Play.",no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2:20,1,1,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Offensive Holding,INTERCEPTION
GB,1,GB,5,3,1,PHI 19,PHI 13,FIELD_GOAL,2,20,PHI 22,09:17,6,(9:17) (Shotgun) 10-J.Love pass incomplete short middle to 13-D.Wicks.,pass,0,1,0,1,0,0,0,J.Love,NA,D.Wicks,NA,NA,NA,short,middle,8,NA,0,0,0,0,0,0,1,0,2:20,1,1,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,INTERCEPTION
GB,1,GB,5,3,1,PHI 19,PHI 13,FIELD_GOAL,3,20,PHI 22,09:13,6,(9:13) (Shotgun) 10-J.Love pass short left to 8-J.Jacobs to PHI 13 for 9 yards (29-A.Maddox; 59-T.Booker).,pass,9,1,0,1,0,0,0,J.Love,9,J.Jacobs,9,NA,NA,short,left,-5,14,0,0,0,1,0,0,0,0,2:20,1,1,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,INTERCEPTION
GB,1,GB,5,3,1,PHI 19,PHI 13,FIELD_GOAL,4,11,PHI 13,08:30,6,"(8:30) 44-B.Narveson 31 yard field goal is GOOD, Center-42-M.Orzech, Holder-19-D.Whelan.",field_goal,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2:20,1,1,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,INTERCEPTION
GB,1,PHI,3,4,1,PHI 16,PHI 20,FUMBLE,NA,0,GB 35,08:26,-2,"44-B.Narveson kicks 61 yards from GB 35 to PHI 4. 14-K.Gainwell MUFFS catch, and recovers at PHI 7. 14-K.Gainwell to PHI 16 for 9 yards (56-E.Cooper).",kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1:20,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KICKOFF
